epoch	loss	acc	val_loss	val_acc
0	1.840385	0.317425	1.575828	0.427400
1	1.515097	0.449275	1.359804	0.519800
2	1.370430	0.506575	1.193505	0.576700
3	1.274149	0.543425	1.106054	0.611700
4	1.194660	0.575775	1.044832	0.627100
5	1.139021	0.596275	0.950029	0.667700
6	1.079367	0.620400	0.958511	0.673100
7	1.048127	0.632300	0.888118	0.688800
8	1.005014	0.646300	0.880853	0.697600
9	0.970640	0.660825	0.826443	0.713800
10	0.947807	0.667050	0.796350	0.725900
11	0.912817	0.679675	0.816006	0.713500
12	0.886858	0.687875	0.814250	0.713300
13	0.870691	0.695075	0.764799	0.737700
14	0.851184	0.703425	0.754932	0.744100
15	0.837863	0.705850	0.764481	0.734500
16	0.822671	0.713850	0.758410	0.738000
17	0.807116	0.716950	0.704535	0.758000
18	0.797602	0.722175	0.722474	0.753000
19	0.777572	0.726425	0.717177	0.758900
20	0.763200	0.733750	0.709199	0.757500
21	0.754638	0.736900	0.731710	0.747500
22	0.746375	0.737925	0.678776	0.768000
23	0.732393	0.744675	0.678493	0.769700
24	0.720914	0.747200	0.675642	0.771400
25	0.718276	0.747375	0.688016	0.767500
26	0.710321	0.750675	0.666166	0.771300
27	0.702411	0.754125	0.674006	0.776200
28	0.688242	0.757700	0.721474	0.762100
29	0.688838	0.758375	0.673746	0.772700
30	0.676353	0.760650	0.666365	0.777400
31	0.675518	0.765200	0.649683	0.780400
32	0.658219	0.769450	0.675526	0.772400
33	0.663364	0.766800	0.638585	0.784700
34	0.655755	0.768650	0.645898	0.784900
35	0.655696	0.771850	0.652551	0.782600
36	0.640647	0.772050	0.654141	0.777000
37	0.639171	0.776300	0.645828	0.782000
38	0.632150	0.779800	0.651043	0.781500
39	0.622171	0.782275	0.653219	0.780400
40	0.626856	0.779450	0.664559	0.780100
41	0.624984	0.778975	0.678651	0.775600
42	0.610659	0.782675	0.630321	0.788900
43	0.607381	0.787350	0.622069	0.790900
44	0.605985	0.788625	0.649925	0.781000
45	0.605098	0.787650	0.650012	0.784100
46	0.601159	0.789400	0.622722	0.793700
47	0.590400	0.791525	0.634736	0.790200
48	0.597792	0.790450	0.620764	0.793700
49	0.586548	0.791275	0.646173	0.785200
50	0.580831	0.795625	0.627434	0.787400
51	0.581705	0.795200	0.624110	0.789700
52	0.572768	0.799125	0.621057	0.791800
53	0.567143	0.797650	0.622243	0.795000
54	0.573234	0.797700	0.625431	0.792400
55	0.570252	0.799275	0.614119	0.794500
56	0.565829	0.798525	0.605980	0.798100
57	0.561377	0.800775	0.621077	0.793500
58	0.557488	0.802575	0.613102	0.796600
59	0.555460	0.803625	0.627892	0.792600
60	0.549903	0.805950	0.620199	0.795600
61	0.554060	0.801800	0.611706	0.795500
62	0.547754	0.806075	0.597051	0.799500
63	0.544585	0.809300	0.608413	0.797900
64	0.544591	0.807875	0.600847	0.803800
65	0.539951	0.809750	0.620410	0.798700
66	0.536582	0.808950	0.626698	0.797700
67	0.537391	0.810375	0.615275	0.799700
68	0.530411	0.811675	0.607337	0.800100
69	0.541462	0.808725	0.609777	0.800300
70	0.540168	0.808375	0.623012	0.793800
71	0.518603	0.818875	0.604014	0.799800
72	0.525375	0.814975	0.619008	0.796400
73	0.522270	0.816900	0.606931	0.799800
74	0.515694	0.818925	0.600207	0.800400
75	0.528320	0.815525	0.607151	0.799400
76	0.512270	0.818200	0.605489	0.805200
77	0.517132	0.816250	0.610938	0.797100
78	0.511538	0.819900	0.613703	0.798400
79	0.508747	0.821525	0.617498	0.794000
80	0.513911	0.817725	0.614394	0.800700
81	0.511582	0.818400	0.612403	0.798400
82	0.514112	0.819400	0.611907	0.797800
83	0.506782	0.820200	0.628733	0.792400
84	0.505945	0.822850	0.621593	0.798100
85	0.490572	0.826100	0.625336	0.798000
86	0.502346	0.823675	0.601529	0.799400
87	0.508768	0.821750	0.608009	0.799300
88	0.506579	0.823175	0.602931	0.801300
89	0.498015	0.825250	0.619731	0.800100
90	0.495960	0.824625	0.622645	0.799600
91	0.497305	0.825775	0.620900	0.797800
92	0.488565	0.827200	0.592364	0.806100
93	0.486620	0.828125	0.595980	0.806600
94	0.495174	0.824150	0.605394	0.802300
95	0.486389	0.829825	0.625400	0.795100
96	0.487073	0.828925	0.598629	0.802900
97	0.488053	0.827525	0.603927	0.803100
98	0.490401	0.828275	0.592061	0.806600
99	0.484919	0.828700	0.617790	0.801900
