epoch	loss	acc	val_loss	val_acc
0	1.777834	0.343925	1.429939	0.491400
1	1.449324	0.475450	1.259990	0.563300
2	1.314351	0.530150	1.128224	0.602300
3	1.224296	0.569000	1.100273	0.615600
4	1.155444	0.589750	1.094215	0.615100
5	1.105370	0.610000	0.992200	0.649700
6	1.058338	0.628100	0.937662	0.670000
7	1.024317	0.637950	0.923603	0.676000
8	0.994843	0.650800	0.911310	0.675100
9	0.959653	0.661875	0.883193	0.687900
10	0.928586	0.670575	0.867474	0.694700
11	0.907889	0.678600	0.863472	0.696400
12	0.890987	0.682500	0.880149	0.689800
13	0.870210	0.692050	0.810491	0.714700
14	0.853282	0.698225	0.818469	0.709200
15	0.828249	0.706050	0.837423	0.703800
16	0.821657	0.707350	0.797402	0.721700
17	0.795005	0.715375	0.795369	0.719900
18	0.790460	0.718025	0.793310	0.724100
19	0.774270	0.724950	0.791278	0.727100
20	0.754728	0.730825	0.776527	0.727700
21	0.747599	0.733225	0.775590	0.729100
22	0.739067	0.738375	0.783181	0.730300
23	0.722273	0.741475	0.773054	0.735200
24	0.717859	0.739075	0.778800	0.729900
25	0.714875	0.745400	0.774333	0.733300
26	0.692308	0.749575	0.780372	0.735400
27	0.693268	0.748650	0.768721	0.731000
28	0.682244	0.755325	0.793171	0.733100
29	0.674309	0.759425	0.803824	0.730400
