epoch	loss	acc	val_loss	val_acc
0	1.769061	0.348600	1.430432	0.492400
1	1.467562	0.466175	1.244409	0.552100
2	1.335502	0.518475	1.160260	0.595800
3	1.265512	0.547250	1.117760	0.622800
4	1.199805	0.573450	1.055347	0.636100
5	1.149022	0.592300	1.067014	0.646400
6	1.109672	0.607650	0.965480	0.672100
7	1.073410	0.619725	0.975994	0.670700
8	1.046411	0.629000	0.931023	0.677600
9	1.017800	0.641800	0.910630	0.692400
10	0.997289	0.645875	0.893568	0.688100
11	0.971490	0.656200	0.905122	0.685700
12	0.956218	0.662325	0.863460	0.709200
13	0.932079	0.668800	0.864085	0.700400
14	0.912123	0.677500	0.843867	0.710900
15	0.902647	0.680525	0.830133	0.716900
16	0.883049	0.688050	0.824022	0.719300
17	0.877868	0.688900	0.843119	0.711400
18	0.851712	0.696950	0.814050	0.723400
19	0.847328	0.698975	0.802375	0.728600
20	0.834845	0.703600	0.827535	0.712600
21	0.822047	0.706075	0.842286	0.708900
22	0.816538	0.706025	0.806237	0.721200
23	0.805669	0.711725	0.804651	0.728500
24	0.794711	0.715100	0.809533	0.722000
25	0.786346	0.718625	0.794052	0.730700
26	0.780784	0.720900	0.779429	0.734500
27	0.774384	0.725225	0.789606	0.732400
28	0.757766	0.729625	0.803522	0.725800
29	0.749295	0.732525	0.793265	0.728900
