epoch	loss	acc	val_loss	val_acc
0	1.768055	0.354375	1.436423	0.497400
1	1.411927	0.493150	1.225248	0.577400
2	1.276428	0.544375	1.090476	0.613700
3	1.192245	0.574050	1.037079	0.640800
4	1.131511	0.596475	0.992367	0.656100
5	1.070386	0.619300	0.959502	0.667500
6	1.037686	0.633425	0.931620	0.676400
7	1.004732	0.644350	0.931266	0.678300
8	0.966038	0.660325	0.872328	0.694200
9	0.940458	0.666150	0.869163	0.698400
10	0.917306	0.676650	0.871280	0.704100
11	0.893294	0.685400	0.866408	0.705200
12	0.874535	0.690675	0.833236	0.714500
13	0.845998	0.701500	0.833456	0.712200
14	0.826992	0.703000	0.811344	0.721600
15	0.807720	0.711600	0.813284	0.719800
16	0.796939	0.714700	0.807597	0.721300
17	0.776277	0.722500	0.803461	0.721800
18	0.761017	0.727850	0.809280	0.718100
19	0.750404	0.729700	0.795799	0.733100
20	0.733729	0.736900	0.819475	0.719700
21	0.732229	0.738200	0.795481	0.726900
22	0.714565	0.742425	0.803383	0.725800
23	0.707400	0.743275	0.791723	0.732200
24	0.688961	0.749225	0.792973	0.737300
25	0.687841	0.753450	0.785628	0.734500
26	0.663797	0.758825	0.779651	0.736200
27	0.665055	0.760200	0.794662	0.734500
28	0.659117	0.759825	0.818352	0.726400
29	0.646468	0.764275	0.791184	0.735300
