epoch	loss	acc	val_loss	val_acc
0	1.807119	0.332775	1.471173	0.483100
1	1.460068	0.470500	1.251905	0.564700
2	1.322647	0.525525	1.139315	0.601500
3	1.233642	0.562825	1.066254	0.632600
4	1.164096	0.583200	1.010511	0.655000
5	1.108371	0.606325	0.985761	0.658400
6	1.073125	0.618000	0.932137	0.679400
7	1.037782	0.631450	0.948654	0.684400
8	1.013239	0.639800	0.883298	0.701000
9	0.977426	0.657325	0.872206	0.703500
10	0.952371	0.663075	0.859603	0.708000
11	0.932324	0.666950	0.828857	0.714100
12	0.915246	0.677075	0.831299	0.718400
13	0.893083	0.682750	0.814633	0.718500
14	0.870150	0.690500	0.808533	0.721600
15	0.850482	0.696125	0.780304	0.734000
16	0.842442	0.698450	0.785918	0.732800
17	0.823373	0.706750	0.784531	0.730300
18	0.802209	0.711675	0.794658	0.728600
19	0.789482	0.716750	0.790686	0.730800
20	0.778044	0.719500	0.784965	0.734100
21	0.769083	0.724425	0.801441	0.732900
22	0.754199	0.729625	0.770424	0.740700
23	0.746074	0.733050	0.770364	0.743100
24	0.731211	0.735075	0.786919	0.739100
25	0.728356	0.737300	0.782171	0.737000
26	0.714620	0.738750	0.754050	0.746500
27	0.712699	0.742050	0.784018	0.737500
28	0.702412	0.747525	0.788861	0.735100
29	0.686536	0.751675	0.773568	0.742400
