epoch	loss	acc	val_loss	val_acc
0	1.897441	0.304250	1.551732	0.465300
1	1.552394	0.435625	1.390476	0.512100
2	1.437061	0.482750	1.260571	0.560800
3	1.355249	0.518000	1.212997	0.580200
4	1.283823	0.539775	1.142436	0.601800
5	1.235928	0.558175	1.096006	0.623400
6	1.194367	0.577125	1.046394	0.632400
7	1.158353	0.589775	1.022453	0.646400
8	1.125904	0.601200	1.013070	0.657800
9	1.097780	0.612250	0.981033	0.658600
10	1.073528	0.618700	0.955013	0.668900
11	1.056062	0.626350	0.953248	0.675200
12	1.037907	0.631625	0.960275	0.666100
13	1.022507	0.635925	0.912189	0.684300
14	0.996281	0.646425	0.904057	0.686400
15	0.975571	0.654175	0.887402	0.690600
16	0.974002	0.654225	0.871180	0.703100
17	0.953041	0.661375	0.866647	0.700700
18	0.938411	0.667775	0.882147	0.694700
19	0.929484	0.669325	0.869063	0.694900
20	0.917648	0.674000	0.862965	0.704300
21	0.905017	0.679275	0.833299	0.713200
22	0.889407	0.684250	0.820271	0.718400
23	0.878578	0.688925	0.820503	0.718500
24	0.866510	0.688800	0.808996	0.723400
25	0.852640	0.698700	0.824582	0.717800
26	0.844977	0.697825	0.811716	0.720500
27	0.836229	0.702800	0.803496	0.722900
28	0.827304	0.705425	0.794479	0.729400
29	0.817036	0.707675	0.792271	0.729400
