epoch	loss	acc	val_loss	val_acc
0	2.347925	0.130225	2.122362	0.206600
1	2.058357	0.245325	1.983540	0.275700
2	1.932441	0.299925	1.839017	0.331900
3	1.818493	0.341200	1.724833	0.382600
4	1.745891	0.373350	1.654233	0.412000
5	1.691461	0.394575	1.625405	0.425600
6	1.654664	0.405575	1.581722	0.434000
7	1.623647	0.416725	1.546245	0.443100
8	1.591580	0.429250	1.531282	0.446300
9	1.572180	0.436550	1.507878	0.459200
10	1.550331	0.446250	1.488258	0.463800
11	1.531836	0.454350	1.468489	0.473000
12	1.507502	0.460125	1.448028	0.481500
13	1.493446	0.467425	1.439672	0.480300
14	1.476811	0.471975	1.423119	0.491300
15	1.446342	0.483975	1.390443	0.499300
16	1.430008	0.490650	1.380111	0.504400
17	1.407545	0.498075	1.384393	0.504300
18	1.388189	0.503450	1.345233	0.518100
19	1.371295	0.511675	1.330647	0.526000
20	1.353300	0.516400	1.319274	0.532300
21	1.332841	0.522925	1.322470	0.526600
22	1.315901	0.527675	1.303460	0.530800
23	1.296218	0.536925	1.308556	0.538700
24	1.275662	0.545650	1.266366	0.548400
25	1.261088	0.548775	1.251797	0.548300
26	1.243003	0.557675	1.256355	0.551700
27	1.230480	0.559375	1.227025	0.563700
28	1.208421	0.568625	1.219231	0.566700
29	1.188966	0.574025	1.210100	0.567600
30	1.174151	0.581125	1.218449	0.567100
31	1.161011	0.583950	1.191676	0.576700
32	1.142185	0.591575	1.192637	0.574400
33	1.131505	0.597975	1.185138	0.576800
34	1.110833	0.601450	1.177776	0.583800
35	1.098744	0.606775	1.171539	0.591500
36	1.083696	0.614200	1.163046	0.586400
37	1.071189	0.618625	1.162898	0.589200
38	1.053938	0.623550	1.146388	0.597400
39	1.049470	0.626950	1.146477	0.598800
40	1.031138	0.631225	1.130994	0.603000
41	1.018836	0.634575	1.127886	0.603500
42	1.010229	0.642050	1.112645	0.608100
43	0.988978	0.646975	1.111401	0.610500
44	0.970815	0.653275	1.103390	0.610800
45	0.960172	0.657125	1.109169	0.610300
46	0.947346	0.661950	1.103349	0.620000
47	0.935395	0.666875	1.095497	0.617900
48	0.924671	0.671250	1.097841	0.619800
49	0.901186	0.677175	1.097949	0.619200
50	0.890273	0.681050	1.087064	0.625200
51	0.880816	0.683050	1.087021	0.624900
52	0.865734	0.690225	1.080027	0.628200
53	0.854521	0.693900	1.092143	0.621900
54	0.846542	0.698650	1.077032	0.633900
55	0.839512	0.702350	1.103113	0.625700
56	0.821616	0.705350	1.081051	0.639400
57	0.812052	0.708900	1.062192	0.634700
58	0.797003	0.713675	1.085564	0.632100
59	0.786720	0.719850	1.094686	0.626300
60	0.765424	0.725075	1.074819	0.635500
61	0.764939	0.727325	1.083173	0.638500
62	0.757044	0.729425	1.084483	0.633900
63	0.744724	0.733350	1.083183	0.639300
64	0.735476	0.737625	1.068341	0.644700
65	0.717834	0.743850	1.091377	0.638000
66	0.717934	0.741925	1.077924	0.643400
67	0.702163	0.749250	1.096044	0.645900
68	0.693954	0.752725	1.103923	0.640400
69	0.686595	0.755625	1.077037	0.648700
70	0.676211	0.759625	1.059330	0.651800
71	0.670520	0.761750	1.086510	0.650500
72	0.658197	0.764900	1.106097	0.647700
73	0.642968	0.769500	1.094697	0.650500
74	0.633592	0.773375	1.073402	0.656200
75	0.628235	0.774025	1.077402	0.655300
76	0.623199	0.777800	1.099173	0.653300
77	0.618317	0.777125	1.090070	0.653700
78	0.603859	0.785125	1.100571	0.655800
79	0.596140	0.788300	1.083233	0.657700
80	0.589365	0.787900	1.074833	0.657100
81	0.583445	0.789275	1.078218	0.656000
82	0.571587	0.795450	1.100557	0.655400
83	0.567586	0.796050	1.106039	0.657000
84	0.561878	0.798325	1.069403	0.659100
85	0.558206	0.800550	1.090424	0.654300
86	0.549803	0.801475	1.092746	0.658000
87	0.540101	0.808500	1.096360	0.659500
88	0.533800	0.807725	1.130520	0.653000
89	0.522205	0.812775	1.082776	0.661700
90	0.520633	0.813875	1.116309	0.659500
91	0.516649	0.814050	1.090776	0.660500
92	0.509272	0.819025	1.095339	0.660400
93	0.503532	0.821150	1.140281	0.656400
94	0.505540	0.817700	1.094958	0.667200
95	0.486143	0.828075	1.108588	0.663300
96	0.480301	0.827775	1.124432	0.663900
97	0.479584	0.825975	1.109761	0.665600
98	0.477026	0.828475	1.139760	0.662800
99	0.471181	0.829675	1.149122	0.659500
100	0.467017	0.832250	1.118156	0.664800
101	0.457525	0.836600	1.130548	0.667000
102	0.459082	0.833875	1.118411	0.670500
103	0.451807	0.838350	1.138414	0.662700
104	0.444144	0.839400	1.141564	0.668300
105	0.436851	0.843225	1.127842	0.664300
106	0.432916	0.845050	1.143501	0.665100
107	0.435462	0.843650	1.140196	0.667600
108	0.429100	0.844325	1.162401	0.666700
109	0.419593	0.851350	1.125946	0.663800
110	0.420083	0.847625	1.129555	0.668900
111	0.420230	0.848875	1.135565	0.667300
112	0.410660	0.851725	1.173423	0.665300
113	0.404904	0.853900	1.177413	0.661500
114	0.399760	0.856750	1.154285	0.670700
115	0.398794	0.855900	1.170583	0.667900
116	0.400887	0.855200	1.172224	0.668600
117	0.391626	0.858600	1.150087	0.674100
118	0.387826	0.859875	1.145020	0.670500
119	0.387460	0.862075	1.158485	0.671100
120	0.381543	0.864800	1.169705	0.672800
121	0.371551	0.868175	1.169864	0.670700
122	0.373523	0.864125	1.180101	0.673000
123	0.372304	0.866925	1.168373	0.671000
124	0.368598	0.866775	1.150430	0.676000
125	0.363225	0.869675	1.194491	0.668000
126	0.366307	0.868450	1.186779	0.668400
127	0.357858	0.872425	1.190253	0.668600
128	0.361575	0.870100	1.199685	0.670500
129	0.347441	0.875675	1.207894	0.671200
130	0.349698	0.874075	1.179537	0.671700
131	0.345525	0.874375	1.185811	0.675800
132	0.345808	0.875800	1.179748	0.672700
133	0.344965	0.875900	1.198381	0.678600
134	0.339279	0.878375	1.196120	0.675400
135	0.338299	0.879675	1.220053	0.678000
136	0.336897	0.879225	1.186544	0.674500
137	0.333572	0.878325	1.163870	0.678300
138	0.327395	0.882800	1.205404	0.674400
139	0.327605	0.882250	1.201074	0.675800
140	0.328167	0.883150	1.197338	0.681600
141	0.324262	0.883125	1.226857	0.678400
142	0.323266	0.884525	1.267494	0.674600
143	0.313494	0.885850	1.186800	0.680400
144	0.316664	0.887125	1.213069	0.676300
145	0.314949	0.887400	1.209093	0.677600
146	0.313067	0.887075	1.205273	0.677600
147	0.316427	0.886775	1.217467	0.676300
148	0.298964	0.892600	1.214497	0.678700
149	0.308257	0.889550	1.208513	0.677200
150	0.303979	0.890175	1.247516	0.678900
151	0.300858	0.894350	1.227368	0.676700
152	0.298256	0.892025	1.252814	0.677800
153	0.299992	0.893175	1.223109	0.682300
154	0.296977	0.892750	1.223359	0.678000
155	0.296045	0.895350	1.253371	0.678300
156	0.287647	0.898475	1.222528	0.679400
157	0.285628	0.896850	1.255880	0.676900
158	0.284891	0.898800	1.231348	0.675500
159	0.288917	0.894700	1.244309	0.678900
160	0.281645	0.899100	1.252228	0.679500
161	0.284273	0.899325	1.226328	0.678800
162	0.282777	0.899650	1.289560	0.678000
163	0.278622	0.901200	1.252985	0.680000
164	0.280675	0.900650	1.266427	0.680800
165	0.277799	0.901350	1.239920	0.677800
166	0.270160	0.903350	1.273711	0.680100
167	0.276436	0.901825	1.250599	0.679400
168	0.269878	0.903750	1.309143	0.673700
169	0.270431	0.904175	1.307111	0.674800
170	0.270567	0.902850	1.266725	0.680500
171	0.267511	0.904900	1.255625	0.679000
172	0.264063	0.906525	1.277380	0.679800
173	0.268745	0.904250	1.272643	0.679200
174	0.260424	0.906325	1.295807	0.685700
175	0.265062	0.905350	1.259281	0.680600
176	0.259197	0.909225	1.259015	0.683300
177	0.259332	0.908175	1.250206	0.683100
178	0.263148	0.905000	1.282957	0.681000
179	0.255800	0.909650	1.268565	0.678100
180	0.261786	0.909225	1.311838	0.677300
181	0.253162	0.909775	1.280773	0.685300
182	0.252559	0.909950	1.266172	0.686000
183	0.247689	0.911425	1.310220	0.682900
184	0.246872	0.912000	1.295347	0.681600
185	0.250442	0.911075	1.289057	0.682300
186	0.251232	0.909175	1.289568	0.681400
187	0.240629	0.913950	1.318221	0.679600
188	0.252286	0.909675	1.317518	0.681500
189	0.247201	0.909875	1.298443	0.683400
190	0.240784	0.911925	1.292493	0.682100
191	0.242210	0.912175	1.298189	0.682900
192	0.239738	0.912725	1.305501	0.677900
193	0.239468	0.915875	1.315046	0.683200
194	0.240679	0.914150	1.316023	0.682300
195	0.235602	0.917875	1.317455	0.683300
196	0.235007	0.916725	1.324905	0.682400
197	0.237499	0.916125	1.336264	0.682900
198	0.238039	0.914950	1.306594	0.682200
199	0.232273	0.917550	1.321544	0.683800
200	0.230782	0.919125	1.317651	0.684000
201	0.235031	0.916750	1.301034	0.683300
202	0.231043	0.917225	1.307688	0.683700
203	0.230197	0.918025	1.316298	0.680700
204	0.227206	0.917875	1.354998	0.684400
205	0.229433	0.917975	1.308224	0.682300
206	0.226186	0.920700	1.320035	0.684900
207	0.227571	0.918575	1.311923	0.683200
208	0.223485	0.920450	1.316144	0.683800
209	0.219729	0.922025	1.320898	0.680600
210	0.218773	0.921850	1.311095	0.684300
211	0.221931	0.921825	1.280427	0.684000
212	0.222626	0.921775	1.316575	0.681700
213	0.216851	0.922925	1.318721	0.683000
214	0.218285	0.922225	1.313597	0.683300
215	0.222162	0.920725	1.314531	0.685600
216	0.219311	0.921575	1.290542	0.686000
217	0.216419	0.923825	1.353623	0.679700
218	0.215551	0.923425	1.355561	0.681000
219	0.212127	0.924550	1.359510	0.683200
220	0.214893	0.922825	1.359659	0.683300
221	0.218526	0.922150	1.343716	0.685700
222	0.206550	0.926300	1.332028	0.686200
223	0.210916	0.924125	1.361477	0.686700
224	0.211510	0.926650	1.299000	0.686100
225	0.207389	0.925950	1.332928	0.685700
226	0.208928	0.926475	1.325941	0.688400
227	0.209951	0.924900	1.333800	0.687700
228	0.208407	0.926750	1.340514	0.686300
229	0.210572	0.926200	1.336928	0.684200
230	0.208504	0.927625	1.375204	0.682000
231	0.203978	0.927425	1.356538	0.684200
232	0.206690	0.926950	1.312214	0.688100
233	0.204610	0.926475	1.374067	0.685000
234	0.207790	0.926300	1.346717	0.686700
235	0.208401	0.927650	1.335076	0.682200
236	0.202024	0.928500	1.336494	0.685900
237	0.200725	0.928100	1.362470	0.682600
238	0.198904	0.929750	1.353386	0.686300
239	0.201952	0.928250	1.356203	0.685900
240	0.199635	0.929125	1.370450	0.687100
241	0.196913	0.930375	1.359838	0.684700
242	0.196120	0.929175	1.330848	0.690400
243	0.199100	0.928000	1.358301	0.687500
244	0.201389	0.928400	1.367064	0.686900
245	0.196519	0.929850	1.375315	0.686800
246	0.197575	0.930475	1.360691	0.683200
247	0.202554	0.927350	1.359293	0.689000
248	0.195180	0.929350	1.338934	0.682800
249	0.194413	0.933250	1.351426	0.683600
250	0.192256	0.932150	1.394451	0.686300
251	0.192612	0.932350	1.383184	0.685100
252	0.192869	0.930350	1.328956	0.688300
253	0.193864	0.931925	1.357586	0.686100
254	0.194513	0.931100	1.374302	0.688400
255	0.190300	0.933175	1.400127	0.684900
256	0.194538	0.930800	1.410684	0.686600
257	0.190117	0.932025	1.383922	0.687400
258	0.195451	0.929950	1.384203	0.687700
259	0.189222	0.932275	1.348457	0.689700
260	0.184439	0.935300	1.362095	0.687000
261	0.194689	0.930075	1.376293	0.689700
262	0.188592	0.933000	1.341790	0.690600
263	0.185006	0.936250	1.378337	0.689700
264	0.186914	0.934450	1.388539	0.688000
265	0.186495	0.933850	1.392789	0.685900
266	0.185913	0.933775	1.376998	0.687400
267	0.183561	0.934700	1.385607	0.685600
268	0.185618	0.933350	1.381989	0.687600
269	0.182824	0.935400	1.394470	0.688200
270	0.183996	0.934925	1.383096	0.686100
271	0.181794	0.936650	1.412501	0.682400
272	0.182980	0.936625	1.403307	0.682800
273	0.184424	0.934575	1.407401	0.683100
274	0.179167	0.936175	1.402416	0.687900
