epoch	loss	acc	val_loss	val_acc
0	1.937362	0.294640	1.731650	0.371200
1	1.710317	0.383520	1.611797	0.410700
2	1.632842	0.414540	1.579787	0.427700
3	1.586171	0.431400	1.526986	0.449400
4	1.548755	0.443520	1.475972	0.471300
5	1.519344	0.452820	1.479935	0.472100
6	1.495551	0.463480	1.475695	0.471300
7	1.471617	0.474400	1.429383	0.489000
8	1.453204	0.480400	1.433257	0.486700
9	1.435871	0.485780	1.388952	0.499600
10	1.420325	0.492380	1.398197	0.503300
11	1.407163	0.496320	1.382026	0.505800
12	1.392524	0.502140	1.378466	0.508600
13	1.375589	0.504860	1.369466	0.510700
14	1.364063	0.510540	1.345306	0.518100
15	1.347268	0.518080	1.336277	0.522300
16	1.333090	0.523220	1.327304	0.528700
17	1.324199	0.526240	1.338146	0.521200
18	1.309629	0.531860	1.355851	0.512300
19	1.300064	0.534000	1.323752	0.529800
20	1.296647	0.535200	1.329721	0.524000
21	1.277462	0.543960	1.328974	0.525300
22	1.270004	0.544880	1.316997	0.528400
23	1.260855	0.549140	1.308365	0.533700
24	1.250336	0.555160	1.309475	0.537300
25	1.243587	0.556460	1.328470	0.526900
26	1.232242	0.559180	1.290446	0.542100
27	1.223135	0.561600	1.306933	0.538600
28	1.217894	0.564840	1.285447	0.541300
29	1.209291	0.568600	1.294840	0.539500
