epoch	loss	acc	val_loss	val_acc
0	1.981951	0.278960	1.779675	0.369600
1	1.791992	0.349020	1.657672	0.404700
2	1.717116	0.380300	1.584313	0.436500
3	1.656146	0.402560	1.562632	0.437400
4	1.620764	0.415860	1.529119	0.459200
5	1.591529	0.424760	1.522987	0.459100
6	1.571040	0.433740	1.506587	0.461600
7	1.546706	0.443820	1.464935	0.477500
8	1.528547	0.449040	1.466339	0.481500
9	1.510188	0.457080	1.445906	0.481200
10	1.497444	0.462680	1.444193	0.487400
11	1.488434	0.465940	1.426240	0.487000
12	1.466849	0.475340	1.451222	0.479700
13	1.449077	0.483220	1.419192	0.492900
14	1.441575	0.483380	1.447668	0.484700
15	1.435544	0.487340	1.391478	0.505400
16	1.416849	0.491600	1.396807	0.497000
17	1.414430	0.495020	1.400376	0.504400
18	1.400644	0.497820	1.397819	0.496900
19	1.391360	0.501240	1.372849	0.511700
20	1.380689	0.507680	1.372876	0.499100
21	1.368947	0.507340	1.368941	0.511400
22	1.360758	0.511440	1.350118	0.516900
23	1.357737	0.512640	1.363222	0.512000
24	1.349756	0.516640	1.335301	0.529800
25	1.336115	0.522320	1.348534	0.522300
26	1.333106	0.522340	1.361837	0.508500
27	1.319281	0.523920	1.349095	0.519200
28	1.317684	0.528080	1.316989	0.529500
29	1.307405	0.534120	1.344401	0.516100
