epoch	loss	acc	val_loss	val_acc
0	1.992924	0.278980	1.735792	0.374800
1	1.737979	0.373760	1.622504	0.423900
2	1.653565	0.405580	1.576930	0.432100
3	1.595517	0.428740	1.525320	0.460700
4	1.552839	0.444980	1.492480	0.469100
5	1.519521	0.455360	1.468563	0.472000
6	1.491786	0.465240	1.459489	0.479800
7	1.472826	0.470460	1.433132	0.486400
8	1.447706	0.479720	1.415081	0.499000
9	1.423730	0.489360	1.408558	0.491000
10	1.409681	0.495320	1.395556	0.501500
11	1.395605	0.500800	1.400133	0.498600
12	1.379986	0.507980	1.366902	0.508700
13	1.368385	0.510120	1.379209	0.506300
14	1.352418	0.517080	1.376222	0.502600
15	1.343262	0.517780	1.345264	0.514700
16	1.329975	0.526460	1.350883	0.517100
17	1.321392	0.529480	1.333396	0.523100
18	1.303103	0.531960	1.340259	0.522800
19	1.293650	0.536640	1.330261	0.524800
20	1.279199	0.543440	1.300945	0.536100
21	1.268355	0.545760	1.338771	0.517800
22	1.255819	0.551520	1.298164	0.532100
23	1.247688	0.554260	1.317671	0.528500
24	1.238159	0.555000	1.281199	0.544500
25	1.222743	0.562540	1.275743	0.544100
26	1.218426	0.565480	1.283251	0.539300
27	1.211161	0.567440	1.301014	0.527800
28	1.205699	0.567800	1.287208	0.540100
29	1.190482	0.574000	1.302161	0.537800
