epoch	loss	acc	val_loss	val_acc
0	2.304509	0.096260	2.302589	0.100000
1	2.302683	0.097900	2.302598	0.100000
2	2.302706	0.097140	2.302603	0.100000
3	2.302935	0.097740	2.302595	0.100000
4	2.302696	0.098080	2.302592	0.100000
5	2.303608	0.098880	2.302594	0.100000
6	2.302718	0.098160	2.302588	0.100000
7	2.302684	0.097920	2.302594	0.100000
8	2.302690	0.099140	2.302587	0.100000
9	2.302681	0.098400	2.302606	0.100000
10	2.302686	0.096200	2.302590	0.100000
11	2.302676	0.097540	2.302595	0.100000
12	2.302678	0.098560	2.302600	0.100000
13	2.302696	0.098000	2.302600	0.100000
14	2.302684	0.098300	2.302592	0.100000
15	2.307714	0.096580	2.302601	0.100000
16	2.302690	0.097680	2.302589	0.100000
17	2.302686	0.096560	2.302589	0.100000
18	2.302672	0.098380	2.302598	0.100000
19	2.302691	0.097140	2.302587	0.100000
20	2.302694	0.097480	2.302603	0.100000
21	2.302705	0.098200	2.302596	0.100000
22	2.302699	0.098580	2.302596	0.100000
23	2.302676	0.099220	2.302592	0.100000
24	2.302682	0.098020	2.302602	0.100000
25	2.302702	0.098360	2.302595	0.100000
26	2.302681	0.097360	2.302590	0.100000
27	2.302703	0.097640	2.302597	0.100000
28	2.302678	0.099320	2.302596	0.100000
29	2.302698	0.097400	2.302594	0.100000
