epoch	loss	acc	val_loss	val_acc
0	1.949337	0.289800	1.758799	0.360900
1	1.747369	0.374280	1.678886	0.397300
2	1.681457	0.395240	1.597881	0.429800
3	1.637151	0.409560	1.604276	0.425200
4	1.612393	0.420760	1.616123	0.431500
5	1.580366	0.432920	1.529031	0.450300
6	1.551316	0.443880	1.507876	0.465700
7	1.532411	0.451540	1.519791	0.463000
8	1.514759	0.455700	1.488018	0.466200
9	1.495485	0.462600	1.473666	0.468600
10	1.483614	0.464520	1.475214	0.460200
11	1.465659	0.474120	1.440555	0.484700
12	1.459808	0.475820	1.459832	0.479200
13	1.441240	0.482220	1.442001	0.481400
14	1.432838	0.488320	1.439956	0.487500
15	1.424786	0.489500	1.442078	0.485200
16	1.411793	0.492780	1.429093	0.486400
17	1.409274	0.492540	1.435134	0.489800
18	1.397013	0.495540	1.406024	0.498400
19	1.386607	0.500440	1.387507	0.499800
20	1.376201	0.506560	1.393559	0.499300
21	1.366089	0.507380	1.386315	0.505000
22	1.355129	0.513800	1.405688	0.495000
23	1.351270	0.514280	1.371265	0.510100
24	1.341282	0.520100	1.361950	0.508100
25	1.333700	0.519780	1.371842	0.509300
26	1.320557	0.526460	1.375165	0.513100
27	1.313430	0.528360	1.349573	0.515500
28	1.305034	0.531600	1.350486	0.515400
29	1.297059	0.534100	1.375857	0.508200
30	1.290813	0.537620	1.352035	0.513800
31	1.286820	0.536220	1.354456	0.508500
32	1.285928	0.537960	1.335072	0.518400
33	1.275062	0.542240	1.354470	0.515000
34	1.274299	0.542960	1.345648	0.518100
35	1.271737	0.542240	1.351454	0.516600
36	1.255541	0.548880	1.334691	0.521600
37	1.248348	0.552220	1.335635	0.522600
38	1.239256	0.556420	1.309163	0.534900
39	1.240110	0.553660	1.333138	0.520900
40	1.226635	0.559180	1.318440	0.535300
41	1.218223	0.561520	1.331226	0.526800
42	1.206485	0.564200	1.314668	0.532700
43	1.202979	0.564640	1.309523	0.536900
44	1.195543	0.566240	1.332416	0.527600
45	1.190616	0.569660	1.317493	0.527000
46	1.187293	0.571980	1.333619	0.522500
47	1.179023	0.575080	1.316297	0.533600
48	1.177305	0.576480	1.317516	0.530200
49	1.172275	0.577400	1.312317	0.536300
