epoch	loss	acc	val_loss	val_acc
0	1.996782	0.285780	1.749711	0.377600
1	1.802665	0.348420	1.716764	0.392700
2	1.743424	0.371380	1.672105	0.406000
3	1.703592	0.386120	1.610477	0.438400
4	1.665716	0.402780	1.598973	0.421200
5	1.646695	0.406640	1.555214	0.451600
6	1.620163	0.419820	1.539033	0.459300
7	1.599460	0.426500	1.532054	0.454400
8	1.584355	0.428480	1.526937	0.462300
9	1.575573	0.432320	1.530166	0.463100
10	1.559974	0.437400	1.519588	0.463400
11	1.560119	0.437540	1.495480	0.477700
12	1.546263	0.443020	1.507765	0.461900
13	1.539118	0.444660	1.485784	0.470400
14	1.526505	0.449640	1.504413	0.463500
15	1.516279	0.453100	1.482208	0.482800
16	1.513322	0.454320	1.507082	0.467500
17	1.499634	0.461440	1.475609	0.478800
18	1.492587	0.465280	1.468586	0.484700
19	1.489333	0.465040	1.453145	0.481900
20	1.483382	0.466140	1.469249	0.483300
21	1.468439	0.471920	1.461029	0.483500
22	1.469383	0.471920	1.450639	0.487100
23	1.466153	0.472940	1.455899	0.486300
24	1.461189	0.475720	1.442470	0.491400
25	1.452857	0.478420	1.446397	0.490000
26	1.452010	0.479040	1.437590	0.495700
27	1.438838	0.484720	1.473731	0.472900
28	1.444156	0.481860	1.463687	0.475700
29	1.441140	0.481340	1.439176	0.491500
30	1.434593	0.484020	1.446185	0.483600
31	1.433504	0.485800	1.434050	0.495000
32	1.417135	0.492180	1.433347	0.488700
33	1.421132	0.488460	1.432895	0.494900
34	1.408013	0.494820	1.418042	0.509100
35	1.416005	0.491040	1.439041	0.483200
36	1.402117	0.498760	1.414203	0.500200
37	1.395756	0.499120	1.411312	0.498700
38	1.398009	0.495360	1.413609	0.498600
39	1.389665	0.501900	1.409613	0.497100
40	1.396946	0.498940	1.426918	0.492700
41	1.393760	0.500400	1.414281	0.495900
42	1.391325	0.498580	1.403404	0.503200
43	1.384855	0.498520	1.413324	0.499800
44	1.381242	0.505340	1.400533	0.506700
45	1.377182	0.503120	1.410239	0.502400
46	1.377869	0.504600	1.398038	0.501600
47	1.380090	0.504320	1.397488	0.508100
48	1.364277	0.507380	1.413430	0.501100
49	1.361094	0.509400	1.407732	0.501200
50	1.368739	0.505580	1.423207	0.495400
51	1.362953	0.510380	1.402589	0.501100
52	1.364336	0.510540	1.415789	0.507100
53	1.352185	0.512400	1.386063	0.507300
54	1.352198	0.514780	1.386989	0.509700
55	1.340154	0.519320	1.393065	0.510200
56	1.346236	0.514980	1.403662	0.502300
57	1.349288	0.514280	1.396681	0.511900
58	1.343615	0.517340	1.396757	0.507700
59	1.340345	0.521660	1.403171	0.507600
60	1.333524	0.522060	1.390770	0.509300
61	1.324009	0.524080	1.377032	0.515400
62	1.335965	0.520280	1.406547	0.495600
63	1.327770	0.523420	1.414168	0.494800
64	1.328689	0.522500	1.391657	0.513800
65	1.321214	0.525860	1.405155	0.502800
66	1.319628	0.527040	1.379441	0.510600
67	1.317563	0.529160	1.385803	0.507900
68	1.314846	0.526400	1.400665	0.501100
69	1.320166	0.522560	1.398660	0.512500
70	1.320895	0.526420	1.407376	0.498100
71	1.320164	0.525320	1.400635	0.501600
72	1.310628	0.530860	1.394382	0.508400
73	1.313774	0.528120	1.395592	0.503900
74	1.308098	0.527720	1.382286	0.510200
75	1.306677	0.529400	1.398480	0.504600
76	1.306307	0.532340	1.382069	0.515700
77	1.295408	0.534420	1.381380	0.508000
78	1.298837	0.531740	1.395600	0.501900
79	1.294129	0.535560	1.384544	0.507100
80	1.294578	0.535400	1.378690	0.512600
81	1.294857	0.534140	1.392516	0.503500
82	1.286330	0.537040	1.408802	0.494700
83	1.290367	0.535160	1.410789	0.498800
84	1.296030	0.533840	1.379602	0.517200
85	1.300586	0.533380	1.403213	0.505200
86	1.292293	0.537980	1.374843	0.514800
87	1.285459	0.533660	1.406270	0.505400
88	1.282281	0.540520	1.400510	0.500600
