epoch	loss	acc	val_loss	val_acc
0	1.931893	0.297300	1.757303	0.360600
1	1.743780	0.370680	1.695783	0.389700
2	1.678982	0.395560	1.632249	0.417000
3	1.634872	0.411420	1.609329	0.416900
4	1.603280	0.423060	1.564031	0.439800
5	1.572794	0.437060	1.515817	0.449000
6	1.543192	0.446240	1.504522	0.457400
7	1.532649	0.450360	1.486379	0.465000
8	1.513792	0.455620	1.502469	0.463900
9	1.492162	0.463440	1.461374	0.477000
10	1.487597	0.465240	1.470069	0.480400
11	1.477935	0.469020	1.434237	0.485900
12	1.456373	0.475640	1.448658	0.475600
13	1.450448	0.478180	1.466516	0.461800
14	1.438753	0.485200	1.446424	0.478600
15	1.431079	0.486120	1.417035	0.498000
16	1.424517	0.486600	1.395010	0.502100
17	1.415874	0.490520	1.396425	0.503600
18	1.400276	0.496860	1.395929	0.500500
19	1.399123	0.495280	1.413379	0.495900
20	1.384343	0.505040	1.403305	0.498300
21	1.378346	0.506020	1.368833	0.509600
22	1.359073	0.512040	1.394634	0.492900
23	1.356720	0.513100	1.389259	0.498200
24	1.344867	0.518980	1.368795	0.503800
25	1.340710	0.517880	1.358218	0.514500
26	1.329710	0.522340	1.390141	0.496300
27	1.327734	0.522840	1.367698	0.508400
28	1.312092	0.528860	1.364617	0.515100
29	1.304053	0.532380	1.353512	0.517400
30	1.304653	0.531600	1.351219	0.516700
31	1.300761	0.533600	1.351380	0.518900
32	1.290825	0.535320	1.347452	0.520900
33	1.285108	0.538000	1.401955	0.500000
34	1.281308	0.538220	1.361269	0.520300
35	1.264889	0.545060	1.343592	0.522400
36	1.261270	0.546660	1.347790	0.520200
37	1.252276	0.548100	1.322389	0.530400
38	1.248109	0.551200	1.338041	0.523800
39	1.238150	0.556780	1.331035	0.526600
40	1.235703	0.553900	1.326017	0.531000
41	1.226712	0.556060	1.331770	0.523400
42	1.229923	0.555940	1.314712	0.531600
43	1.213053	0.565600	1.335230	0.522600
44	1.208671	0.565000	1.316819	0.530200
45	1.203685	0.568440	1.307275	0.540300
46	1.195462	0.569880	1.317605	0.532100
47	1.187692	0.573260	1.316790	0.533200
48	1.179878	0.576920	1.327263	0.534900
49	1.174769	0.575800	1.313426	0.535000
50	1.160995	0.580660	1.312685	0.533300
51	1.160036	0.580940	1.303124	0.538000
52	1.149306	0.585140	1.315753	0.533500
53	1.149790	0.584560	1.312575	0.536300
54	1.147453	0.585940	1.295671	0.542600
55	1.142143	0.588580	1.309708	0.536700
56	1.137972	0.592840	1.303272	0.537900
57	1.129893	0.593160	1.311672	0.537000
58	1.125432	0.591840	1.314543	0.536200
59	1.115250	0.597800	1.321322	0.536300
60	1.111175	0.598440	1.308452	0.541100
61	1.107499	0.602840	1.309973	0.541700
62	1.102929	0.604960	1.307690	0.545600
63	1.095435	0.607680	1.317523	0.536900
64	1.101017	0.603740	1.318565	0.535800
65	1.089713	0.609160	1.320465	0.535600
66	1.079274	0.610820	1.323598	0.538200
67	1.074140	0.614300	1.307374	0.543100
68	1.067261	0.617320	1.315551	0.540900
69	1.071108	0.610060	1.309592	0.543900
70	1.052063	0.619140	1.328098	0.538600
71	1.049484	0.620680	1.315385	0.543700
72	1.045743	0.622860	1.312933	0.542400
73	1.039043	0.623800	1.319652	0.539300
74	1.034428	0.627400	1.342354	0.532800
75	1.029586	0.628260	1.317074	0.544600
76	1.032727	0.626680	1.351883	0.543300
77	1.020252	0.634040	1.297210	0.544800
78	1.021525	0.632340	1.315557	0.543300
79	1.007978	0.637120	1.314341	0.543200
80	1.008221	0.635460	1.321862	0.538500
81	1.005300	0.636720	1.356262	0.536800
82	0.982961	0.644420	1.317594	0.542500
83	0.991426	0.642920	1.347004	0.540600
84	0.988964	0.643700	1.318290	0.544700
85	0.989446	0.643840	1.326599	0.539700
86	0.991379	0.644000	1.330745	0.542000
87	0.972360	0.649780	1.321432	0.542600
88	0.967433	0.650780	1.333498	0.545500
89	0.961863	0.651660	1.367911	0.534300
90	0.957639	0.655520	1.343410	0.542700
91	0.962846	0.652580	1.335969	0.539900
92	0.955948	0.653820	1.347866	0.543400
93	0.946148	0.659560	1.332446	0.551600
94	0.937793	0.661460	1.352109	0.546600
95	0.929706	0.666840	1.344698	0.537700
96	0.929145	0.664240	1.359121	0.545100
97	0.920525	0.667740	1.338109	0.543000
98	0.922387	0.666920	1.339833	0.544000
99	0.914000	0.669460	1.346320	0.545600
100	0.918426	0.669560	1.355557	0.543600
101	0.903862	0.674700	1.365098	0.546500
102	0.897986	0.678100	1.363577	0.544200
103	0.896985	0.676120	1.365685	0.545000
104	0.894913	0.677180	1.365340	0.540900
105	0.886856	0.679600	1.392592	0.540800
106	0.877673	0.683900	1.370374	0.544400
107	0.881992	0.679760	1.368632	0.551100
108	0.880170	0.684160	1.360191	0.546500
109	0.868238	0.687040	1.355988	0.552700
110	0.866883	0.686800	1.356124	0.548700
111	0.855789	0.690760	1.395247	0.542700
112	0.853320	0.693700	1.370431	0.545800
113	0.846272	0.696520	1.387281	0.543600
114	0.844866	0.697540	1.379381	0.551400
115	0.838635	0.697360	1.386277	0.541900
116	0.833988	0.698860	1.385571	0.544400
117	0.826984	0.703380	1.380455	0.547100
118	0.820835	0.705720	1.404567	0.544100
119	0.831752	0.701680	1.357509	0.547700
120	0.824210	0.703980	1.384219	0.545000
121	0.810616	0.707660	1.409620	0.545500
