epoch	loss	acc	val_loss	val_acc
0	2.136111	0.168660	2.039759	0.191700
1	2.021511	0.206700	1.957179	0.225600
2	1.933026	0.252880	1.812416	0.303400
3	1.850397	0.296780	1.761696	0.331900
4	1.797591	0.326920	1.718526	0.353400
5	1.748603	0.350720	1.677628	0.383600
6	1.707396	0.371500	1.640996	0.398800
7	1.670134	0.388020	1.640359	0.412400
8	1.642405	0.402500	1.585990	0.425100
9	1.608178	0.417060	1.525492	0.450400
10	1.588119	0.426180	1.512084	0.451900
11	1.574389	0.431960	1.526179	0.445900
12	1.554788	0.439980	1.502509	0.454400
13	1.540405	0.442560	1.496284	0.461400
14	1.520568	0.449180	1.511940	0.451200
15	1.511999	0.454680	1.474964	0.464500
16	1.497012	0.460680	1.456706	0.471100
17	1.477180	0.468460	1.454334	0.475400
18	1.470424	0.470020	1.441557	0.484800
19	1.455934	0.475740	1.423335	0.488500
20	1.444352	0.479800	1.409644	0.493600
21	1.435684	0.484180	1.412129	0.490700
22	1.421883	0.488200	1.425103	0.493300
23	1.412004	0.490660	1.385123	0.500400
24	1.400444	0.496140	1.378033	0.509800
25	1.391294	0.497500	1.384420	0.501200
26	1.388037	0.503560	1.366545	0.516300
27	1.380525	0.508300	1.398780	0.497900
28	1.370852	0.508720	1.392459	0.502200
29	1.356751	0.517020	1.361899	0.514800
